,auc,acc,f1_marco_avg,f1_weighted_avg,precision_marco_avg,precision_weighted_avg,recall_marco_avg,recall_weighted_avg
0,0.9292840597236144,0.8597964657328133,0.6302894493080097,0.8997509861085007,0.6022140837250299,0.9683666322814598,0.905499305491539,0.8597964657328133
1,0.9417363607663748,0.8665662129849401,0.6168858283426497,0.90722668899876,0.5913226690509483,0.973544750084572,0.9090693380875478,0.8665662129849401
2,0.9456567279333469,0.8747691812537083,0.6110268470250803,0.9142780295839513,0.5853222425903176,0.9766930057988992,0.9135777588873908,0.8747691812537083
3,0.9480725400500787,0.8746267986564383,0.5960995267597975,0.9161672934622453,0.5751342832283021,0.9795681436572542,0.9144713846461915,0.8746267986564383
4,0.9520206804989242,0.8775336817623121,0.5842802154463493,0.9198449295928756,0.5668078568121476,0.9822677006001901,0.9148544671867681,0.8775336817623121
5,0.9555447005827025,0.8807470472719054,0.5758950928875102,0.9232637890134713,0.5609144522366131,0.9844002543500683,0.9151698827143708,0.8807470472719054
6,0.9589533836342817,0.8870445346274471,0.5699071897890925,0.9284642037118928,0.5560467938676229,0.9864690074408285,0.9167393580164115,0.8870445346274471
7,0.9616694993405475,0.890041125392048,0.5628122182211545,0.9314284251823784,0.5512095568529856,0.9881376908450136,0.9173992910955314,0.890041125392048
8,0.9635614813373501,0.8899303097892124,0.5527997352210859,0.9325811621828022,0.5451999013015044,0.9898086811779416,0.91930006089807,0.8899303097892124
9,0.9644863559447262,0.8941140888573363,0.5487472905704464,0.9358483057264363,0.5421243666737567,0.9909365395699276,0.9190605988697529,0.8941140888573363
10,0.9648771184972609,0.8952815731753836,0.5422913000097297,0.9372989578805601,0.5381036115933772,0.9918907193935801,0.9183977595722995,0.8952815731753836
11,0.9655409151303537,0.8935923548712946,0.534255470689411,0.9370418648755293,0.5337148190544982,0.9927963213793894,0.9188529597743504,0.8935923548712946
12,0.9649278759372294,0.8909143037777972,0.5272650661602233,0.9361033345022376,0.5301790369216074,0.9934903878439953,0.9168278848799241,0.8909143037777972
13,0.9633109667086971,0.8952405846472277,0.5251179983560925,0.9390568797817574,0.5282308903745635,0.9941399862832654,0.9188821312154499,0.8952405846472277
14,0.9646004475243266,0.8990953340891746,0.5230862181376035,0.9417894112039984,0.5265307168908914,0.9948366747363422,0.9215426498710472,0.8990953340891746
15,0.967853488289623,0.9174905210717418,0.5364101482658123,0.952438696949519,0.5315462713368658,0.9954247886585454,0.9267318357550881,0.9174905210717418
16,0.9687105655908352,0.9193095790596476,0.5322971821162474,0.9538210127606384,0.5288445477333639,0.9958942066402229,0.9281987912244266,0.9193095790596476
17,0.9697097823909495,0.9182255154912268,0.5264199421439685,0.9535803038463938,0.5256332569604759,0.9963211485707256,0.9315300229584449,0.9182255154912268
18,0.9692019720528046,0.9183900921138136,0.5226247875780524,0.953953372016682,0.5234560374899165,0.9966482410151088,0.9301563015654715,0.9183900921138136
19,0.9683845683599946,0.9211976870885251,0.5210436894835246,0.9557557444814578,0.5221653414968026,0.9969524667992954,0.9286558446419375,0.9211976870885251
