,auc,acc,f1_marco_avg,f1_weighted_avg,precision_marco_avg,precision_weighted_avg,recall_marco_avg,recall_weighted_avg
0,0.9767986883436804,0.9138890986234278,0.7015182728658019,0.9344423379221365,0.6471433688869274,0.9709764910238565,0.9229328248580569,0.9138890986234278
1,0.9843805846683565,0.9279130520927039,0.7042421670251711,0.945748840979575,0.6455958126882442,0.9767814745621906,0.9384131630893568,0.9279130520927039
2,0.9872716699945006,0.9345293512330606,0.7017728796231221,0.9512695345528072,0.6418398001511815,0.9798199731381659,0.9451885629718675,0.9345293512330606
3,0.9884257970506796,0.9390306962115693,0.6937842646271247,0.9553381607446004,0.63420540541122,0.9823727028095106,0.9487703126790703,0.9390306962115693
4,0.9902060578071795,0.9456775496579988,0.6908488118667178,0.9606480458221338,0.6303528075133565,0.9849433178451966,0.9543151669324467,0.9456775496579988
5,0.9913889241962712,0.9481453040883066,0.6804961453018016,0.9631123633267373,0.62144163752083,0.98675692437656,0.9579763138900865,0.9481453040883066
6,0.9925835262543188,0.9521858667480607,0.6730493756097259,0.9664934280284101,0.6148522755286697,0.9885416600723554,0.9615464093093349,0.9521858667480607
7,0.9932949551354414,0.9535636173942226,0.6607576560621082,0.9681387710533718,0.6053656946724328,0.9899246462394592,0.9642910915533901,0.9535636173942226
8,0.9949579985375739,0.9629737412357747,0.6723993824832235,0.9744170102577367,0.612529020155462,0.9915876345306612,0.9708439163405069,0.9629737412357747
9,0.9955391055924522,0.9663064052035591,0.6694181671399905,0.9768917324338319,0.6093977370318756,0.9925653330358343,0.9730806818822069,0.9663064052035591
10,0.9959868116167248,0.9676446231204217,0.6613325261604119,0.9781370995803202,0.6032323299714306,0.9933345815146291,0.9741954480806685,0.9676446231204217
11,0.9966145609467627,0.9717929937954279,0.6646230987598655,0.98092994440598,0.604893235105391,0.9941370220537932,0.9770032791766676,0.9717929937954279
12,0.9967684313499986,0.9725984592097553,0.6564507052577858,0.9817458692869023,0.5989358528738523,0.9946904162240661,0.9778099006548407,0.9725984592097553
13,0.9971725303044642,0.9747917246783472,0.6561011043654239,0.9833036073026297,0.5985675469224933,0.9952413159912917,0.9796220155920667,0.9747917246783472
14,0.9975411175864523,0.9754849285653086,0.6457756718517558,0.984008959415645,0.5909764292998219,0.9957321025782709,0.9814060042795925,0.9754849285653086
15,0.9977975290368858,0.9772945449385247,0.6441820452653304,0.9852988107162205,0.5896457688630541,0.9961778244698366,0.9816766292541637,0.9772945449385247
16,0.998158497661671,0.9809684737751494,0.6517589789873028,0.9875788670335768,0.5943805085822903,0.9966375750171416,0.9848411195157035,0.9809684737751494
17,0.9984082260636687,0.982926470640734,0.6545966266173369,0.9888730813727191,0.5962008905030951,0.9969947081884675,0.9864976143842235,0.982926470640734
18,0.9984917594254392,0.9828715425038191,0.6444912719854871,0.9890336538799606,0.5892817777303412,0.9972537221398299,0.98621244256212,0.9828715425038191
19,0.9986257408590251,0.98393642276771,0.6454938417946845,0.9897957212366222,0.591781995208309,0.997522615431662,0.9870566236845959,0.98393642276771
