,auc,acc,f1_marco_avg,f1_weighted_avg,precision_marco_avg,precision_weighted_avg,recall_marco_avg,recall_weighted_avg
0,0.9772351027876465,0.91285776919205,0.7004500054549463,0.9338063811074984,0.6463986373800678,0.9710655179813287,0.924216212034213,0.91285776919205
1,0.9845686185496587,0.927823417352097,0.7042892746600564,0.9457098069139744,0.6457131612840558,0.9768122335630409,0.938669365946504,0.927823417352097
2,0.9874050630189047,0.9338950358958438,0.7007686900628842,0.9508850044838812,0.6411894623416227,0.9798163872466342,0.9454077705994341,0.9338950358958438
3,0.9885842981780838,0.9393703122099415,0.6949169111351563,0.9555625030489082,0.6351193367009507,0.9824297661852397,0.9492736095102658,0.9393703122099415
4,0.9902513256131954,0.9449871794185254,0.6893773182025672,0.9602308861967249,0.6293385382500098,0.9849143075108793,0.95423766409873,0.9449871794185254
5,0.9915217656150022,0.9488133018999274,0.6826668204467883,0.9635265556751188,0.6231638005329077,0.9867943397697444,0.9577775854193378,0.9488133018999274
6,0.9927281301364914,0.9524834287402362,0.6741159771463487,0.9666782784126718,0.6156684828139448,0.9885699284871284,0.9618052842029418,0.9524834287402362
7,0.9934061392201751,0.9549990874316348,0.6650888636199497,0.9689795550758492,0.6083637317388005,0.9899856342723001,0.964587092597234,0.9549990874316348
8,0.994945534639368,0.9634789627332967,0.6743951536025095,0.9747197182308233,0.6140672698398865,0.9916049436764443,0.9703323187488876,0.9634789627332967
9,0.9955696448317466,0.9656698898849049,0.6676726100608503,0.9765352936931577,0.6083209535132669,0.9925512500292721,0.9729277550891334,0.9656698898849049
10,0.9959944848174003,0.9677848931335586,0.6616406204747054,0.9782165286866957,0.6034557944634918,0.9933372859199487,0.9741454085559967,0.9677848931335586
11,0.996613950642143,0.9719086534685635,0.6647389153467264,0.9809941406486572,0.6049806596652122,0.9941356696362103,0.9768366027817214,0.9719086534685635
12,0.9968109909857069,0.9725533528966567,0.656594383383363,0.9817242068758226,0.5991245021215159,0.9946933387615092,0.97779045718107,0.9725533528966567
13,0.9972475486953236,0.9749435769466933,0.6568377663212818,0.9833971465767509,0.5993459382431235,0.9952552111547552,0.9798318228103517,0.9749435769466933
14,0.9976853905494004,0.9765749546616403,0.6521961945962634,0.9846207549204103,0.5954186799613524,0.9957728192519553,0.98189281329941,0.9765749546616403
15,0.9977801028265219,0.9775065642448134,0.6453595957169229,0.9854196592229068,0.5904848585305735,0.9961856222031127,0.9816895972736025,0.9775065642448134
16,0.9981428933034185,0.980825807433348,0.6514239639766243,0.9875044812684319,0.5942362864736533,0.9966370395437203,0.9845719486302628,0.980825807433348
17,0.9983673526630275,0.9824021856123902,0.6511726558475583,0.988581339781995,0.5937648285746965,0.9969762817164161,0.9860488761151486,0.9824021856123902
18,0.9983754128264336,0.9821527576968104,0.6396968786634482,0.9886398437534711,0.5860103322499222,0.997232283308506,0.985625244304259,0.9821527576968104
19,0.9985304077072517,0.9836597605991799,0.6446095318937967,0.9896400324260647,0.5911831985022736,0.9975109694670663,0.9865123331953061,0.9836597605991799
