,auc,acc,f1_marco_avg,f1_weighted_avg,precision_marco_avg,precision_weighted_avg,recall_marco_avg,recall_weighted_avg
0,0.8576894693076037,0.8014664986559141,0.797830887080311,0.7999739790830922,0.8060864985835577,0.805364164817248,0.7965685654758683,0.8014664986559141
1,0.8940794654088977,0.84210376344086,0.834828064053425,0.8417276546722275,0.8373794410036941,0.8426966300419361,0.8337216950898936,0.84210376344086
2,0.9112717939479569,0.851484946236559,0.8400935163911952,0.8526545135452842,0.8363405757789556,0.8559896931886086,0.8463846258484622,0.851484946236559
3,0.9227233548327285,0.8560327620967741,0.8375980746199657,0.8590446971498626,0.8276660253797309,0.8680722276725451,0.8553597956034021,0.8560327620967741
4,0.9349384279028852,0.8640453629032252,0.8364170692206672,0.8687868352575258,0.8201169910583408,0.8831391960050127,0.8671361879105344,0.8640453629032252
5,0.9464752393642887,0.8762409274193544,0.8394509455372073,0.8819874576312605,0.8173184375813113,0.8987753004564125,0.8806871378629388,0.8762409274193544
6,0.9557188364145465,0.8832420698924731,0.8361632237687013,0.8906271806439261,0.8071061997925112,0.9122220141993419,0.8937355718450901,0.8832420698924731
7,0.9627546187322333,0.8910063508064512,0.8336116442094464,0.8993832456403582,0.7989197987140386,0.9230757766770317,0.9043236926438825,0.8910063508064512
8,0.9701129050083209,0.9008188508064511,0.8338537166755225,0.9096308910274861,0.7934961329317138,0.9337302391322319,0.9166255613127694,0.9008188508064511
9,0.9745247597343116,0.9059404905913975,0.8295662627841367,0.9154852943640418,0.7846195141846509,0.9408679758343772,0.9250268641986192,0.9059404905913975
10,0.9784910556731957,0.912657022849462,0.8280620195974023,0.9223972692356838,0.7792439115463042,0.947667315708106,0.9333776102234264,0.912657022849462
11,0.9816481312347979,0.9187433131720432,0.8260269591608154,0.9285850512260345,0.7735346758552045,0.9533444211415256,0.9407694918103477,0.9187433131720432
12,0.9846322683124118,0.9272797379032246,0.8292548367910615,0.9364574507385377,0.7741354167007684,0.9589826204467478,0.9482405764790479,0.9272797379032246
13,0.9865911664216981,0.9311468077956988,0.8256375734115271,0.9403622717202951,0.7675896297422228,0.9624971257577072,0.9531384158789803,0.9311468077956988
14,0.9881794567216928,0.9393150537634416,0.8281408318970034,0.9476264028901416,0.7674159857286569,0.9670790027364979,0.9582565960654128,0.9393150537634416
15,0.9892003852586392,0.941270295698925,0.8203074696771201,0.9499464280758483,0.7572414447962034,0.9696651455750815,0.961401237737852,0.941270295698925
16,0.9899138481582415,0.944696639784946,0.8156813629451034,0.9533910803808843,0.7511884999731642,0.972514034449021,0.9643239365345547,0.944696639784946
17,0.9908032899294169,0.9478741935483869,0.8122146509651569,0.9564230595753319,0.7464038292420416,0.974792153353782,0.9667105662865365,0.9478741935483869
18,0.9916393714250734,0.9520389448924729,0.8117131258520276,0.9601455228470025,0.7445921728071925,0.9772649599660161,0.9693733240188631,0.9520389448924729
19,0.9922924707389688,0.9542950268817212,0.8092066557474449,0.9624050219043013,0.7424182682351069,0.9790940438804147,0.9710210665105616,0.9542950268817212
